Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS6,Chrome 127.0.0.0,,,21-08-2024 11:21:08,21-08-2024 11:21:48,40.158s,PASSED
,,,,,,,
Test Cases/TC6,Chrome 127.0.0.0,,,21-08-2024 11:21:08,21-08-2024 11:21:48,40.100s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,,,21-08-2024 11:21:08,21-08-2024 11:21:10,1.203s,PASSED
"navigateToUrl(""https://www.google.com.vn/"")",Chrome 127.0.0.0,,,21-08-2024 11:21:10,21-08-2024 11:21:11,1.034s,PASSED
"setText(findTestObject(""Object Repository/Page_Google/textarea_Sign in_q""), ""123"")",Chrome 127.0.0.0,,,21-08-2024 11:21:11,21-08-2024 11:21:11,0.603s,PASSED
"click(findTestObject(""Object Repository/Page_Google/svg""))",Chrome 127.0.0.0,,,21-08-2024 11:21:11,21-08-2024 11:21:12,0.602s,PASSED
"click(findTestObject(""Object Repository/Page_Google/svg""))",Chrome 127.0.0.0,,,21-08-2024 11:21:12,21-08-2024 11:21:12,0.471s,PASSED
"click(findTestObject(""Object Repository/Page_Google/svg""))",Chrome 127.0.0.0,,,21-08-2024 11:21:12,21-08-2024 11:21:13,0.480s,PASSED
"doubleClick(findTestObject(""Object Repository/Page_Google/svg_1""))",Chrome 127.0.0.0,,,21-08-2024 11:21:13,21-08-2024 11:21:13,0.596s,PASSED
"click(findTestObject(""Object Repository/Page_Google/svg""))",Chrome 127.0.0.0,,,21-08-2024 11:21:13,21-08-2024 11:21:14,0.481s,PASSED
"click(findTestObject(""Object Repository/Page_Google/svg""))",Chrome 127.0.0.0,,,21-08-2024 11:21:14,21-08-2024 11:21:14,0.485s,PASSED
"click(findTestObject(""Object Repository/Page_Google/svg""))",Chrome 127.0.0.0,,,21-08-2024 11:21:14,21-08-2024 11:21:15,0.479s,PASSED
"click(findTestObject(""Object Repository/Page_Google/svg""))",Chrome 127.0.0.0,,,21-08-2024 11:21:15,21-08-2024 11:21:15,0.480s,PASSED
"click(findTestObject(""Object Repository/Page_Google/svg""))",Chrome 127.0.0.0,,,21-08-2024 11:21:15,21-08-2024 11:21:16,0.472s,PASSED
"click(findTestObject(""Object Repository/Page_Google/b_nhadatviet""))",Chrome 127.0.0.0,,,21-08-2024 11:21:16,21-08-2024 11:21:16,0.586s,PASSED
"click(findTestObject(""Object Repository/Page_123nhadatviet - Google Search/div_Not now""))",Chrome 127.0.0.0,,,21-08-2024 11:21:16,21-08-2024 11:21:48,31.924s,PASSED
closeBrowser(),Chrome 127.0.0.0,,,21-08-2024 11:21:48,21-08-2024 11:21:48,0.096s,PASSED
